id,type,bounding box,r,g,b
46,0,"[0.12963224947452545, 0.12963224947452545, 0.12963224947452545]",0.0,0.0,0.0
47,0,"[0.13355638086795807, 0.13355638086795807, 0.13355638086795807]",0.0,0.0,0.0
48,0,"[0.1547805517911911, 0.1547805517911911, 0.1547805517911911]",0.0392156862745098,0.0392156862745098,0.0392156862745098
49,0,"[0.10400497168302536, 0.10400497168302536, 0.10400497168302536]",0.0392156862745098,0.0392156862745098,0.0392156862745098
50,0,"[0.34254372119903564, 0.34254372119903564, 0.34254372119903564]",0.0784313725490196,0.0784313725490196,0.0784313725490196
51,0,"[0.3962952792644501, 0.3962952792644501, 0.3962952792644501]",0.43137254901960786,0.43137254901960786,0.43137254901960786
52,0,"[0.30450814962387085, 0.30450814962387085, 0.30450814962387085]",0.43137254901960786,0.43137254901960786,0.43137254901960786
53,0,"[0.41675281524658203, 0.41675281524658203, 0.41675281524658203]",0.5019607843137255,0.5019607843137255,0.5019607843137255
54,0,"[0.08020049333572388, 0.08020049333572388, 0.08020049333572388]",0.5019607843137255,0.5019607843137255,0.5019607843137255
55,0,"[0.36079341173171997, 0.36079341173171997, 0.36079341173171997]",0.5686274509803921,0.5686274509803921,0.5686274509803921
56,1,"[0.22643467783927917, 0.22643467783927917, 0.22643467783927917]",0.4117647058823529,0.20392156862745098,0.4588235294117647
57,1,"[0.49207398295402527, 0.49207398295402527, 0.49207398295402527]",0.30196078431372547,0.14901960784313725,0.11764705882352941
58,1,"[0.2179766446352005, 0.2179766446352005, 0.2179766446352005]",0.2823529411764706,0.14901960784313725,0.09411764705882353
59,1,"[0.21625889837741852, 0.21625889837741852, 0.21625889837741852]",0.4117647058823529,0.20392156862745098,0.4588235294117647
60,1,"[0.3567197918891907, 0.3567197918891907, 0.3567197918891907]",0.9176470588235294,0.596078431372549,0.7176470588235294
61,1,"[0.19084548950195312, 0.19084548950195312, 0.19084548950195312]",0.8627450980392157,0.2549019607843137,0.00784313725490196
62,1,"[0.07541362941265106, 0.07541362941265106, 0.07541362941265106]",0.8627450980392157,0.2549019607843137,0.00784313725490196
63,1,"[0.18367701768875122, 0.18367701768875122, 0.18367701768875122]",0.0,0.0,0.0
64,1,"[0.2699173092842102, 0.2699173092842102, 0.2699173092842102]",0.996078431372549,0.7137254901960784,0.0
65,1,"[0.108176089823246, 0.108176089823246, 0.108176089823246]",0.9803921568627451,0.9803921568627451,0.9803921568627451
66,1,"[0.20095540583133698, 0.20095540583133698, 0.20095540583133698]",0.4117647058823529,0.20392156862745098,0.4588235294117647
67,1,"[0.1225767433643341, 0.1225767433643341, 0.1225767433643341]",0.0392156862745098,0.0392156862745098,0.0392156862745098
68,1,"[0.4238327145576477, 0.4238327145576477, 0.4238327145576477]",0.0,0.0,0.0
69,1,"[0.33769330382347107, 0.33769330382347107, 0.33769330382347107]",0.10196078431372549,0.5607843137254902,0.6823529411764706
70,1,"[0.2432907670736313, 0.2432907670736313, 0.2432907670736313]",0.03137254901960784,0.5686274509803921,0.7333333333333333
71,1,"[0.2007315754890442, 0.2007315754890442, 0.2007315754890442]",0.25882352941176473,0.14901960784313725,0.29411764705882354
72,1,"[0.34323859214782715, 0.34323859214782715, 0.34323859214782715]",0.43137254901960786,0.43137254901960786,0.43137254901960786
73,1,"[0.08963997662067413, 0.08963997662067413, 0.08963997662067413]",0.2823529411764706,0.14901960784313725,0.09411764705882353
74,1,"[0.475501149892807, 0.475501149892807, 0.475501149892807]",0.0,0.4549019607843137,0.2549019607843137
75,1,"[0.13748414814472198, 0.13748414814472198, 0.13748414814472198]",0.0,0.0,0.0
76,1,"[0.3038146495819092, 0.3038146495819092, 0.3038146495819092]",0.8627450980392157,0.2549019607843137,0.00784313725490196
77,1,"[0.28467971086502075, 0.28467971086502075, 0.28467971086502075]",0.00784313725490196,0.4470588235294118,0.5764705882352941
78,1,"[0.12259339541196823, 0.12259339541196823, 0.12259339541196823]",0.0,0.4549019607843137,0.2549019607843137
79,1,"[0.17476026713848114, 0.17476026713848114, 0.17476026713848114]",0.996078431372549,0.7137254901960784,0.0
80,1,"[0.23006778955459595, 0.23006778955459595, 0.23006778955459595]",0.0,0.0,0.0
81,1,"[0.2824716866016388, 0.2824716866016388, 0.2824716866016388]",0.27058823529411763,0.1568627450980392,0.08627450980392157
82,1,"[0.37859758734703064, 0.37859758734703064, 0.37859758734703064]",0.7098039215686275,0.1450980392156863,0.14901960784313725
83,1,"[0.3599756956100464, 0.3599756956100464, 0.3599756956100464]",0.09803921568627451,0.09803921568627451,0.09803921568627451
84,1,"[0.34583422541618347, 0.34583422541618347, 0.34583422541618347]",0.5529411764705883,0.043137254901960784,0.09411764705882353
85,1,"[0.3742561936378479, 0.3742561936378479, 0.3742561936378479]",0.996078431372549,0.7137254901960784,0.0
86,1,"[0.12284796684980392, 0.12284796684980392, 0.12284796684980392]",0.4117647058823529,0.20392156862745098,0.4588235294117647
87,1,"[0.46734920144081116, 0.46734920144081116, 0.46734920144081116]",0.8627450980392157,0.2549019607843137,0.00784313725490196
